Date,Startup Name,Industry Vertical,SubVertical,Location,Investors Name,InvestmentnType,Amount
2018-08-20,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria capital,Debt Funding,39.6
2018-08-17,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurgaon,Denlow investment trust and beenext,Private Equity,48.26
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Orios venture partners and the ian fund,Ventureast",Seed / Angel Funding,33.0
2018-08-13,Observe ai,Technology,AI Based Solutions Platform,Bangalore,"Emergent ventures and y combinator,Hack vc,Liquid 2 ventures,Mgv,Nexus venture partners",Private Equity,66.0
2018-08-09,Happy emi,FinTech,Consumer Financing Platform,Bangalore,Aj ventures and jain international trade organisation (jito),Seed / Angel Funding,8.25
2018-08-09,Quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus venture partners,Prime venture partners and others",Seed / Angel Funding,24.75
2018-08-08,Phone pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,Private Equity,544.5
2018-08-08,Metro bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Accel partners and g raghunandan,Sequoia india",Private Equity,100.65
2018-08-08,Hansel i,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex ventures,Seed / Angel Funding,33.0
2018-08-07,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurgaon,Makemytrip limited,Private Equity,82.5
2018-08-07,Shopx,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung strategic holdings,Private Equity,288.75
2018-08-03,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y combinator,Private Equity,0.99
2018-08-02,Samosa labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and sequoia capital india,Private Equity,57.75
2018-08-01,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor,Sprout venture partners and others",Seed / Angel Funding,0.0
2018-08-01,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Arts alliance,Farm to fork,Sven hensen,The syndicate fund,Zeroth and artesian venture partners",Seed / Angel Funding,3.3
2018-07-31,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal patel,Seed / Angel Funding,41.25
